Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,unique_affiliation_count,all_china,some_china,some_usa,all_usa,all_countries,affiliation_data,unique_country_count,Most Recent Affiliation Year,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1983,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1984,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1985,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1986,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1987,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1988,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1989,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1990,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1991,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1992,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1993,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1994,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1995,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1996,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1997,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1998,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1999,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_2000,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2001,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2002,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2003,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2004,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2005,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2006,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2007,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2008,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2009,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2010,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2011,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2012,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2013,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2014,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2015,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2016,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2017,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2018,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2019,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2020,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2021,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2022,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2023,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2024,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2025,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2026
Jiaxin Xu,1,,https://openalex.org/A5101299439,A5101299439,https://orcid.org/0009-0003-5321-3202,Jiaxin Xu,"Jiaxin Xu, Xu, Jiaxin",9,8,1.0,2,0,3,True,True,False,False,China,True,1,2025,Henan University of Technology,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I42852656,China,Shenyang University,https://openalex.org/I167383011,China,Henan University of Science and Technology,https://openalex.org/I36152291,China,Henan University of Technology,,,
Jiewen Hu,1,,https://openalex.org/A5030169073,A5030169073,https://orcid.org/0000-0001-7742-052X,Jiewen Hu,"Hu, Jiewen, Jiewen Hu",21,327,1.2,12,12,3,False,False,True,True,United States,True,1,2025,Carnegie Mellon University,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I859038795,United States,Virginia Tech,https://openalex.org/I859038795,United States,Virginia Tech,https://openalex.org/I859038795,United States,Virginia Tech,https://openalex.org/I859038795,United States,Virginia Tech,https://openalex.org/I4210153776,United States,Apple (United States),https://openalex.org/I859038795,United States,Virginia Tech,https://openalex.org/I859038795,United States,Virginia Tech,https://openalex.org/I74973139,United States,Carnegie Mellon University,,,
Jin Chen,2,,https://openalex.org/A5100689175,A5100689175,https://orcid.org/0000-0003-0794-3995,Jin Chen,"Chen Helen Jin, Chen Jin, Chen, Jin, J Chen, J. Chen, J., Chen, JIN CHEN, Jin C, Jin CHEN, Jin Chen",403,8125,4.352112676056338,47,148,18,False,True,True,False,"China, United States",True,2,2026,Zhejiang University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I183067930,China,Shanghai Jiao Tong University,,,,,,,https://openalex.org/I9916479,China,Air Force Medical University,,,,,,,,,,https://openalex.org/I4210092099,China,Daping Hospital,https://openalex.org/I4210120223,China,Fuzhou General Hospital of Nanjing Military Command,https://openalex.org/I80143920,China,Shandong University of Science and Technology,https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I4210159575,China,Huashan Hospital,https://openalex.org/I4210105806,China,Zhongda Hospital Southeast University,https://openalex.org/I76835614,United States,University of Missouri,https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I4210161896,China,Fu Wai Hospital,https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I50760025,China,Hangzhou Dianzi University,https://openalex.org/I83519826,China,Nanjing Medical University,https://openalex.org/I85430964,China,Jinzhou Medical University,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I92039509,China,Guangzhou Medical University,https://openalex.org/I79731167,China,Hainan Medical University,https://openalex.org/I93477617,China,Huizhou University,https://openalex.org/I76130692,China,Zhejiang University
Jing Chen,1,,https://openalex.org/A5100394926,A5100394926,https://orcid.org/0000-0002-8067-0201,Jing Chen,"<p>Jing Chen, Furong Peng</p>, CHEN Jing, Chen Jing, Chen, Jin, Chen, Jing, J. Chen, Jin Chen, Jing CHEN, Jing Chen, Jing Chen -, Jing, Chen Wan",230,2566,22.775,24,51,20,False,True,True,False,"Canada, China, Japan, Taiwan, United States",True,5,2025,Xiamen University of Technology,China,,,,,,,,,,,,,https://openalex.org/I135598925,Japan,Kyushu University,,,,,,,,,,,,,,,,https://openalex.org/I37461747,China,Wuhan University,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210118728,China,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,https://openalex.org/I151934421,Canada,University of Northern British Columbia,https://openalex.org/I37461747,China,Wuhan University,https://openalex.org/I63135867,United States,University of Cincinnati,https://openalex.org/I91807558,Taiwan,National Cheng Kung University,,,,https://openalex.org/I78978612,China,Yangzhou University,https://openalex.org/I4210137144,China,Guangdong Hydropower Planning & Design Institute,https://openalex.org/I67031392,Canada,Carleton University,https://openalex.org/I96478251,China,Hunan Institute of Technology,https://openalex.org/I4210118728,China,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,https://openalex.org/I43922553,China,Wuhan University of Science and Technology,https://openalex.org/I4210118728,China,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,https://openalex.org/I55022517,China,Heilongjiang University,https://openalex.org/I4210097214,China,Shandong Management University,https://openalex.org/I4210118728,China,State Key Laboratory of Information Engineering in Surveying Mapping and Remote Sensing,https://openalex.org/I75867142,China,Xiamen University of Technology,https://openalex.org/I87216513,United States,Michigan State University,https://openalex.org/I80947539,China,Fuzhou University,https://openalex.org/I75867142,China,Xiamen University of Technology,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I4210136793,China,Peng Cheng Laboratory,https://openalex.org/I9086337,China,Taiyuan University of Technology,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I75867142,China,Xiamen University of Technology,,,
Jingchang Chen,3,,https://openalex.org/A5003566311,A5003566311,https://orcid.org/0000-0002-1378-898X,Jingchang Chen,"Chen Jing-chang, Chen, Jingchang, Jing-Chang Chen, Jing-chang Chen, Jingchang Chen",76,1253,29.04,15,19,8,False,True,False,False,"Canada, China",True,2,2025,China Automotive Engineering Research Institute,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I161346416,China,Jimei University,https://openalex.org/I157773358,China,Sun Yat-sen University,,,,,,,https://openalex.org/I157773358,China,Sun Yat-sen University,https://openalex.org/I25757504,China,China University of Mining and Technology,https://openalex.org/I25757504,China,China University of Mining and Technology,,,,https://openalex.org/I157773358,China,Sun Yat-sen University,https://openalex.org/I157773358,China,Sun Yat-sen University,,,,https://openalex.org/I92039509,China,Guangzhou Medical University,https://openalex.org/I157773358,China,Sun Yat-sen University,,,,https://openalex.org/I157773358,China,Sun Yat-sen University,https://openalex.org/I157773358,China,Sun Yat-sen University,,,,https://openalex.org/I4210145005,China,State Key Laboratory of Vehicle NVH and Safety Technology,https://openalex.org/I4210145005,China,State Key Laboratory of Vehicle NVH and Safety Technology,https://openalex.org/I74872605,China,China Southern Power Grid (China),https://openalex.org/I4210161256,Canada,Impact,https://openalex.org/I4210131649,China,China Automotive Engineering Research Institute,,,
Jingjing Xiang,1,,https://openalex.org/A5101651199,A5101651199,https://orcid.org/0000-0001-6276-6501,Jingjing Xiang,"J Xiang, J. Xiang, Jianxiong Xiang, JingJing Xiang, Jingjing Xiang, Xiang, Jingjing",48,444,7.384615384615385,12,17,5,True,True,False,False,China,True,1,2025,Hangzhou First People's Hospital,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210148790,China,Hangzhou First People's Hospital,,,,,,,,,,,,,,,,https://openalex.org/I4210148790,China,Hangzhou First People's Hospital,https://openalex.org/I4210148790,China,Hangzhou First People's Hospital,https://openalex.org/I4210165038,China,University of Chinese Academy of Sciences,,,,https://openalex.org/I2801769982,China,First Affiliated Hospital of Wenzhou Medical University,https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I196699116,China,Wuhan University of Technology,https://openalex.org/I76130692,China,Zhejiang University,https://openalex.org/I4210148790,China,Hangzhou First People's Hospital,,,
Jingxiang Sun,1,,https://openalex.org/A5040066835,A5040066835,,Jingxiang Sun,"Jingxiang Sun, Sun, Jingxiang",3,307,85.0,3,3,1,True,True,False,False,China,True,1,2022,Tsinghua University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I99065089,China,Tsinghua University,,,,,,,,,,,,
Jingyang Yuan,4,,https://openalex.org/A5113747152,A5113747152,,Jingyang Yuan,"Jingyang Yuan, Yuan, Jingyang",33,1400,67.6,7,7,6,False,True,True,False,"China, United States",True,2,2026,King University,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I204983213,China,Harbin Institute of Technology,,,,,,,,,,https://openalex.org/I75867142,China,Xiamen University of Technology,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I52180223,China,Hunan Agricultural University,https://openalex.org/I881766915,China,Nanjing University,,,,,,,,,,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I75867142,China,Xiamen University of Technology,https://openalex.org/I111483173,United States,King University
Jingyuan Cheng,1,,https://openalex.org/A5007742979,A5007742979,,Jingyuan Cheng,"Cheng, Jingyuan, Jingyuan Cheng",3,22,1.0,2,1,1,True,True,False,False,China,True,1,2019,Fujian Normal University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I111753288,China,Fujian Normal University,https://openalex.org/I111753288,China,Fujian Normal University,,,,,,,,,,,,,,,,,,,,,
Jinhua Zhu,1,,https://openalex.org/A5102224739,A5102224739,,Jinhua Zhu,"Jin-hua Zhu, Jinhua Zhu, Zhu, Jinhua",3,10,1.0,1,0,1,True,True,False,False,China,True,1,2002,Northeast Institute of Geography and Agroecology,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210101301,China,Northeast Institute of Geography and Agroecology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun Ran,1,,https://openalex.org/A5029163663,A5029163663,https://orcid.org/0000-0002-7825-2190,Jun Ran,"J. Ran, J.T. Ran, Jin RAN, Jingwang Ran, Jun RAN, Jun Ran, Ran, Jun",35,254,3.3,11,12,3,True,True,False,False,China,True,1,2025,Jiangxi Agricultural University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I19820366,China,Chinese Academy of Sciences,,,,,,,,,,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,,,,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I47720641,China,Huazhong University of Science and Technology,https://openalex.org/I74837319,China,Jiangxi Agricultural University,,,
Junguang Jiang,1,,https://openalex.org/A5101828204,A5101828204,https://orcid.org/0000-0003-3099-3405,Junguang Jiang,"Jiang, Junguang, Junguang Jiang",3,5,1.0,1,0,1,True,True,False,False,China,True,1,2022,First Affiliated Hospital of Zhengzhou University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210156804,China,First Affiliated Hospital of Zhengzhou University,,,,,,,https://openalex.org/I4210156804,China,First Affiliated Hospital of Zhengzhou University,,,,,,,,,,,,
Junjie Qiu,5,,https://openalex.org/A5052869661,A5052869661,https://orcid.org/0000-0001-7060-9960,Junjie Qiu,"Jun-Jie Qiu, JunJie QIU, Junjie Qiu, Qiu, Junjie",42,619,9.19047619047619,15,19,6,False,True,False,False,"China, Switzerland",True,2,2025,Weifang University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I116953780,China,Tongji University,https://openalex.org/I116953780,China,Tongji University,https://openalex.org/I4210090489,China,State Key Laboratory of Pollution Control and Resource Reuse,https://openalex.org/I4210090489,China,State Key Laboratory of Pollution Control and Resource Reuse,https://openalex.org/I64852412,China,Sichuan University of Science and Engineering,https://openalex.org/I64852412,China,Sichuan University of Science and Engineering,https://openalex.org/I4210156571,China,Collaborative Innovation Center of Chemistry for Energy Materials,https://openalex.org/I951315,Switzerland,Graduate Institute of International and Development Studies,https://openalex.org/I66883779,China,Weifang University,,,
Junlong Li,3,,https://openalex.org/A5100757072,A5100757072,https://orcid.org/0000-0003-2588-2882,Junlong Li,"Jun-long Li, Junlong Li, Li Junlong, Li, Junlong",38,838,18.692307692307693,12,13,10,False,True,False,False,"China, United Kingdom",True,2,2026,Weifang University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I146071755,China,Kunming University,https://openalex.org/I125904092,China,Shenyang Aerospace University,,,,,,,,,,,,,,,,,,,https://openalex.org/I204983213,China,Harbin Institute of Technology,,,,https://openalex.org/I2250955327,China,Huawei Technologies (China),,,,https://openalex.org/I62853816,China,Beijing University of Civil Engineering and Architecture,https://openalex.org/I51601045,United Kingdom,University of Bath,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I51601045,United Kingdom,University of Bath,https://openalex.org/I80947539,China,Fuzhou University,https://openalex.org/I87780372,China,Chongqing Medical University,https://openalex.org/I66883779,China,Weifang University
Junxiao Song,6,,https://openalex.org/A5008686458,A5008686458,https://orcid.org/0000-0002-3236-1535,Junxiao Song,"J.-s. SONG, Jun-Xiao Song, Junxiao Song, Song, Junxiao",21,1366,67.0,11,12,4,False,True,False,False,"China, Hong Kong, South Korea",True,3,2023,Qingdao University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I24456540,South Korea,Korea Aerospace University,,,,,,,,,,,,,,,,,,,https://openalex.org/I200769079,Hong Kong,Hong Kong University of Science and Technology,https://openalex.org/I200769079,Hong Kong,Hong Kong University of Science and Technology,https://openalex.org/I889458895,Hong Kong,University of Hong Kong,https://openalex.org/I200769079,Hong Kong,Hong Kong University of Science and Technology,,,,,,,,,,,,,,,,,,,https://openalex.org/I108688024,China,Qingdao University,,,,,,,,,
Kai Dong,6,,https://openalex.org/A5102020713,A5102020713,https://orcid.org/0000-0002-3156-9035,Kai Dong,"Dong, Kai, Kai DONG, Kai Dong",68,819,14.133333333333333,16,22,6,False,True,False,False,"Canada, China, Finland, Italy",True,4,2026,University of Oulu,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I881766915,China,Nanjing University,,,,https://openalex.org/I881766915,China,Nanjing University,,,,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I106938459,Canada,University of New Brunswick,,,,https://openalex.org/I76569877,China,Southeast University,https://openalex.org/I76569877,China,Southeast University,https://openalex.org/I76569877,China,Southeast University,,,,https://openalex.org/I98227222,China,China National Petroleum Corporation (China),https://openalex.org/I93860229,Italy,Politecnico di Milano,https://openalex.org/I98381234,Finland,University of Oulu,https://openalex.org/I76569877,China,Southeast University,https://openalex.org/I98381234,Finland,University of Oulu,https://openalex.org/I98381234,Finland,University of Oulu
Kai Hu,2,,https://openalex.org/A5101710153,A5101710153,https://orcid.org/0009-0009-7511-935X,Kai Hu,"Hu, Kai, Kai Hu, Kai Hu -, Kai Hu Kai Hu",28,451,20.0,9,8,6,False,True,False,False,"Canada, China",True,2,2026,Jiangxi Academy of Sciences,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I168635309,Canada,University of Calgary,,,,,,,https://openalex.org/I168635309,Canada,University of Calgary,,,,https://openalex.org/I168635309,Canada,University of Calgary,,,,,,,,,,https://openalex.org/I92178344,China,Anhui University of Technology,https://openalex.org/I4210135723,China,Shanghai Institute of Technical Physics,,,,,,,,,,,,,https://openalex.org/I92178344,China,Anhui University of Technology,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I4210155731,China,Jiangxi Academy of Sciences
Kaichao You,1,,https://openalex.org/A5016284649,A5016284649,https://orcid.org/0000-0002-1955-3743,Kaichao You,"Kaichao You, You, Kaichao",28,1914,122.5,15,17,1,True,True,False,False,China,True,1,2024,Tsinghua University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,,,,,,
Kaige Gao,5,,https://openalex.org/A5002755981,A5002755981,https://orcid.org/0000-0002-7634-3400,Kaige Gao,"Gao, Kaige, K.G. Gao, Kai-Ge Gao, Kaige Gao, Kai‐Ge Gao",79,1923,31.53846153846154,23,38,4,True,True,False,False,China,True,1,2026,Yangzhou University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I38877650,China,Zhengzhou University,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I162868743,China,Tianjin University,https://openalex.org/I78978612,China,Yangzhou University,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I78978612,China,Yangzhou University,https://openalex.org/I78978612,China,Yangzhou University,https://openalex.org/I78978612,China,Yangzhou University,https://openalex.org/I78978612,China,Yangzhou University,https://openalex.org/I78978612,China,Yangzhou University,https://openalex.org/I881766915,China,Nanjing University,https://openalex.org/I78978612,China,Yangzhou University
Kang Guan,6,,https://openalex.org/A5017301651,A5017301651,https://orcid.org/0000-0001-5619-6290,Kang Guan,"Guan, Kang, K. GUAN, K. Guan, K. Y. Guan, K.-Y. Guan, Kang Guan",103,2179,30.85185185185185,22,41,7,True,True,False,False,China,True,1,2026,South China University of Technology,China,,,,,,,,,,,,,https://openalex.org/I4210126304,China,Institute of Metals Research,,,,https://openalex.org/I4210126304,China,Institute of Metals Research,,,,,,,https://openalex.org/I13850615,China,Kunming Institute of Botany,,,,,,,,,,,,,,,,https://openalex.org/I4210149704,China,Tianjin Academy of Environmental Sciences,,,,,,,,,,https://openalex.org/I4210149704,China,Tianjin Academy of Environmental Sciences,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I17145004,China,Northwestern Polytechnical University,https://openalex.org/I17145004,China,Northwestern Polytechnical University,https://openalex.org/I98227222,China,China National Petroleum Corporation (China),https://openalex.org/I17145004,China,Northwestern Polytechnical University,https://openalex.org/I46975222,China,Yunnan University of Traditional Chinese Medicine,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I90610280,China,South China University of Technology,https://openalex.org/I98227222,China,China National Petroleum Corporation (China),https://openalex.org/I98227222,China,China National Petroleum Corporation (China),https://openalex.org/I90610280,China,South China University of Technology
Kexin Huang,3,,https://openalex.org/A5102892551,A5102892551,https://orcid.org/0009-0003-5576-2213,Kexin Huang,"Huang Ke-xin, Huang, Kexin, KEXIN HUANG, Ke-xin Huang, Kexin Huang",40,766,31.714285714285715,13,13,8,True,True,False,False,China,True,1,2026,National University of Defense Technology,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I17145004,China,Northwestern Polytechnical University,,,,,,,,,,https://openalex.org/I194450716,China,Jilin University,,,,https://openalex.org/I4210151662,China,Zhanjiang Experimental Station,https://openalex.org/I153473198,China,North China Electric Power University,,,,https://openalex.org/I4210136497,China,Jilin Medical University,,,,,,,,,,https://openalex.org/I167027274,China,Nanjing Forestry University,https://openalex.org/I194450716,China,Jilin University,https://openalex.org/I167027274,China,Nanjing Forestry University,https://openalex.org/I194450716,China,Jilin University,https://openalex.org/I194450716,China,Jilin University,https://openalex.org/I170215575,China,National University of Defense Technology,https://openalex.org/I4210116869,China,Affiliated Hospital of Qingdao University,https://openalex.org/I170215575,China,National University of Defense Technology
Kexing Zhou,1,,https://openalex.org/A5000718123,A5000718123,https://orcid.org/0000-0001-7635-3425,Kexing Zhou,"Kexing Zhou, Zhou, Kexing",11,93,4.428571428571429,5,4,1,True,True,False,False,China,True,1,2025,Peking University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,https://openalex.org/I20231570,China,Peking University,,,
Kezhao Huang,1,,https://openalex.org/A5023674199,A5023674199,https://orcid.org/0009-0006-7273-0952,Kezhao Huang,"Huang, Kezhao, Kezhao Huang",7,99,3.0,3,2,1,True,True,False,False,China,True,1,2025,Tsinghua University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I99065089,China,Tsinghua University,,,,,,,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,,,
Kuai Yu,3,,https://openalex.org/A5022036537,A5022036537,https://orcid.org/0000-0001-6138-0367,Kuai Yu,"Kuai Yu, Yu, Kuai",77,4189,34.73684210526316,28,48,13,False,True,True,False,"China, France, Netherlands, Singapore, The Netherlands, United States",True,6,2026,University of Baltimore,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210103894,China,Hefei National Center for Physical Sciences at Nanoscale,https://openalex.org/I4210103894,China,Hefei National Center for Physical Sciences at Nanoscale,https://openalex.org/I4210103894,China,Hefei National Center for Physical Sciences at Nanoscale,,,,https://openalex.org/I165932596,Singapore,National University of Singapore,https://openalex.org/I2801908541,Netherlands,Huygens Institute for History and Culture of the Netherlands,https://openalex.org/I210716285,The Netherlands,University of Applied Sciences Leiden,https://openalex.org/I4210118524,France,Université Bourgogne Franche-Comté,https://openalex.org/I107639228,United States,University of Notre Dame,https://openalex.org/I180726961,China,Shenzhen University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I4210152380,China,Shenzhen Technology University,https://openalex.org/I180726961,China,Shenzhen University,https://openalex.org/I180726961,China,Shenzhen University,https://openalex.org/I192209268,China,Shaoxing University,https://openalex.org/I180726961,China,Shenzhen University,https://openalex.org/I55538621,China,China Jiliang University,https://openalex.org/I4210119392,China,Institute of Microelectronics,https://openalex.org/I6059380,United States,University of Baltimore
