Author,OA_ID,unique_affiliation_count,affiliation-2026,ID-2026,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1992,ID-1992,affiliation-1991,ID-1991,affiliation-1989,ID-1989,affiliation-1988,ID-1988,affiliation-1987,ID-1987,affiliation-1986,ID-1986,affiliation-1985,ID-1985
Xingkai Yu,A5100608388,4,North China Electric Power University,https://openalex.org/I153473198,North China Electric Power University,https://openalex.org/I153473198,China-Japan Friendship Hospital,https://openalex.org/I2801051648,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Shanghai Jiao Tong University,https://openalex.org/I183067930,Shanghai Jiao Tong University,https://openalex.org/I183067930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanhong Xu,A5100612566,5,China National Chemical Engineering (China),https://openalex.org/I4210134393,,,Civil Aviation University of China,https://openalex.org/I28813325,Yan'an University,https://openalex.org/I4210102412,Civil Aviation University of China,https://openalex.org/I28813325,,,,,,,,,,,,,,,,,,,,,,,Yan'an University,https://openalex.org/I4210102412,Shanxi University of Finance and Economics,https://openalex.org/I170751988,,,,,,,,,,,Southwest Forestry University,https://openalex.org/I25399270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yichao Zhang,A5100625408,14,Tongji University,https://openalex.org/I116953780,Hangzhou Medical College,https://openalex.org/I4210165441,Hangzhou Medical College,https://openalex.org/I4210165441,Southwest Jiaotong University,https://openalex.org/I4800084,Shenyang Jianzhu University,https://openalex.org/I83714178,Shenyang Jianzhu University,https://openalex.org/I83714178,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,Delft University of Technology,https://openalex.org/I98358874,Capital Normal University,https://openalex.org/I96852419,Lanzhou University,https://openalex.org/I76214153,Lanzhou University,https://openalex.org/I76214153,University College London,https://openalex.org/I45129253,Geological Institute,https://openalex.org/I4210124538,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,Tongji University,https://openalex.org/I116953780,Institute of Hydroecology,https://openalex.org/I4210163417,Shanghai University,https://openalex.org/I113940042,Peking University,https://openalex.org/I20231570,,,Shanghai Jiao Tong University,https://openalex.org/I183067930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minghua Zhang,A5100737340,5,,,Stony Brook University,https://openalex.org/I59553526,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,Guangzhou Medical University,https://openalex.org/I92039509,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,Air Force Medical University,https://openalex.org/I9916479,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,Air Force Medical University,https://openalex.org/I9916479,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,Stony Brook University,https://openalex.org/I59553526,"University of California, Davis",https://openalex.org/I84218800,,,,,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,Stony Brook University,https://openalex.org/I59553526,Stony Brook University,https://openalex.org/I59553526,Stony Brook University,https://openalex.org/I59553526,,,,,State University of New York,https://openalex.org/I1327163397,,,,,,,,,,
Shanghao Lu,A5101289776,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziwei Xie,A5101644040,3,,,,,,,Tencent (China),https://openalex.org/I2250653659,Qufu Normal University,https://openalex.org/I202126657,,,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinyu Chen,A5101682928,6,,,Hangzhou DAC Biotech (China),https://openalex.org/I4210142178,,,Peking University,https://openalex.org/I20231570,Boston Consulting Group (United States),https://openalex.org/I4401726965,Boston Consulting Group (United States),https://openalex.org/I4401726965,Boston Consulting Group (United States),https://openalex.org/I4401726965,Boston Consulting Group (United States),https://openalex.org/I4401726965,The Ohio State University,https://openalex.org/I52357470,Sidney Kimmel Comprehensive Cancer Center,https://openalex.org/I4210164401,Shenyang Pharmaceutical University,https://openalex.org/I103890011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yiyuan Liu,A5101704539,9,,,Xi'an Jiaotong University,https://openalex.org/I87445476,Jiangxi University of Science and Technology,https://openalex.org/I4510145,Zhejiang University,https://openalex.org/I76130692,"China University of Petroleum, East China",https://openalex.org/I4210162190,Peking University,https://openalex.org/I20231570,Taizhou University,https://openalex.org/I82760581,Collaborative Innovation Center of Quantum Matter,https://openalex.org/I4210127494,Otterbein University,https://openalex.org/I197312921,,,,,,,Tongji University,https://openalex.org/I116953780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minghui Tang,A5101876129,12,,,Fuzhou University,https://openalex.org/I80947539,University of South China,https://openalex.org/I91935597,Hunan Children's Hospital,https://openalex.org/I4210132733,Intelligent Health (United Kingdom),https://openalex.org/I4210153682,Hokkaido University,https://openalex.org/I205349734,,,,,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Shatin Hospital,https://openalex.org/I2800762105,Nanjing University of Aeronautics and Astronautics,https://openalex.org/I9842412,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,"University of Maryland, Baltimore",https://openalex.org/I126744593,"University of Maryland, Baltimore",https://openalex.org/I126744593,"University of Maryland, Baltimore",https://openalex.org/I126744593,Southwest Jiaotong University,https://openalex.org/I4800084,Loyola University Medical Center,https://openalex.org/I1304196042,Loyola University Medical Center,https://openalex.org/I1304196042,,,University of Illinois Chicago,https://openalex.org/I39422238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanting Chen,A5101983121,8,,,King Abdullah University of Science and Technology,https://openalex.org/I71920554,First Affiliated Hospital of Henan University,https://openalex.org/I4210155511,Columbia University,https://openalex.org/I78577930,National Taiwan University of Science and Technology,https://openalex.org/I154864474,Northwest University,https://openalex.org/I37802460,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,,,National Taiwan University of Science and Technology,https://openalex.org/I154864474,,,National Taiwan University of Science and Technology,https://openalex.org/I154864474,,,Hangzhou Dianzi University,https://openalex.org/I50760025,,,,,,,,,,,,,National Central University,https://openalex.org/I22265921,National Central University,https://openalex.org/I22265921,National Central University,https://openalex.org/I22265921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaofeng Sun,A5102212666,2,,,Gansu Coalfield Geology Bureau,https://openalex.org/I4210120546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beijing Polytechnic,https://openalex.org/I4210152042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zihui Gu,A5102691681,1,,,,,Guangxi University of Chinese Medicine,https://openalex.org/I4210113348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhe Fu,A5103128811,14,University of North Carolina at Charlotte,https://openalex.org/I102149020,Third Affiliated Hospital of Zhengzhou University,https://openalex.org/I4210144384,Xi'an Jiaotong University,https://openalex.org/I87445476,Huazhong University of Science and Technology,https://openalex.org/I47720641,PA Consulting Group,https://openalex.org/I61372060,Huazhong University of Science and Technology,https://openalex.org/I47720641,Renmin University of China,https://openalex.org/I78988378,,,,,Hubei University of Technology,https://openalex.org/I74525822,Wuhan University of Technology,https://openalex.org/I196699116,Huazhong University of Science and Technology,https://openalex.org/I47720641,Division of Materials Science and Engineering,https://openalex.org/I4210129794,,,"University of California, San Diego",https://openalex.org/I36258959,Université du Québec à Montréal,https://openalex.org/I159129438,Shanghai Jiao Tong University,https://openalex.org/I183067930,,,Microsoft (United States),https://openalex.org/I1290206253,,,,,,,,,,,,,,,Hong Kong Polytechnic University,https://openalex.org/I14243506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangyun Lin,A5109672590,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tian Pei,A5110880895,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xuecheng Su,A5111734260,2,,,,,,,University of Memphis,https://openalex.org/I94658018,University of Memphis,https://openalex.org/I94658018,,,,,,,,,Shandong University of Science and Technology,https://openalex.org/I80143920,,,Shandong University of Science and Technology,https://openalex.org/I80143920,,,Shandong University of Science and Technology,https://openalex.org/I80143920,Shandong University of Science and Technology,https://openalex.org/I80143920,,,,,Shandong University of Science and Technology,https://openalex.org/I80143920,Shandong University of Science and Technology,https://openalex.org/I80143920,Shandong University of Science and Technology,https://openalex.org/I80143920,Shandong University of Science and Technology,https://openalex.org/I80143920,,,,,Shandong University of Science and Technology,https://openalex.org/I80143920,,,,,Shandong University of Science and Technology,https://openalex.org/I80143920,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zehui Ren,A5112250476,5,,,Xinjiang University,https://openalex.org/I96908189,Chongqing Normal University,https://openalex.org/I126924076,China University of Mining and Technology,https://openalex.org/I25757504,,,,,,,University of British Columbia,https://openalex.org/I141945490,,,University of Manchester,https://openalex.org/I28407311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erhang Li,A5113091614,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel (United Kingdom),https://openalex.org/I4210158342,,,Intel (United States),https://openalex.org/I1343180700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaotao Nie,A5113091615,3,,,,,,,,,,,Chubu Electric Power (Japan),https://openalex.org/I875722105,,,,,Zhejiang University,https://openalex.org/I76130692,,,,,,,,,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honghui Ding,A5113640093,5,,,Southeast University,https://openalex.org/I76569877,,,Wenzhou University,https://openalex.org/I146620803,Tongji Hospital,https://openalex.org/I4210160344,Tongji Hospital,https://openalex.org/I4210160344,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,Huazhong University of Science and Technology,https://openalex.org/I47720641,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,First Affiliated Hospital of Shantou University Medical College,https://openalex.org/I4210115239,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Liu,A5115601909,1,,,,,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuli Luo,A5019525050,5,Xiaomi (China),https://openalex.org/I862669128,Hunan University of Technology,https://openalex.org/I49934816,Hunan University of Technology,https://openalex.org/I49934816,Alibaba Group (China),https://openalex.org/I45928872,Alibaba Group (China),https://openalex.org/I45928872,Alibaba Group (China),https://openalex.org/I45928872,Alibaba Group (United States),https://openalex.org/I4210095624,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yixuan Wei,A5019825958,1,,,,,,,,,Henan Normal University,https://openalex.org/I75955062,,,Henan Normal University,https://openalex.org/I75955062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lean Wang,A5034611488,2,,,Peking University,https://openalex.org/I20231570,,,Tencent (China),https://openalex.org/I2250653659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhibin Gou,A5034928588,2,,,,,,,Tsinghua University,https://openalex.org/I99065089,Baidu (China),https://openalex.org/I98301712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zilin Li,A5044058639,5,Air Force Medical University,https://openalex.org/I9916479,Second Affiliated Hospital of Zhejiang University,https://openalex.org/I4210158318,Beijing Tian Tan Hospital,https://openalex.org/I4210087691,Beijing Tian Tan Hospital,https://openalex.org/I4210087691,,,,,,,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,,,Sun Yat-sen University,https://openalex.org/I157773358,Institute of High Energy Physics,https://openalex.org/I4210137180,Sun Yat-sen University,https://openalex.org/I157773358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuduan Wang,A5047265939,2,,,"National University Cancer Institute, Singapore",https://openalex.org/I4210103786,National University of Singapore,https://openalex.org/I165932596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinyu Yang,A5055963260,8,Anhui Jianzhu University,https://openalex.org/I118987531,Zhejiang University,https://openalex.org/I76130692,Chongqing University of Technology,https://openalex.org/I50632499,State Key Laboratory of Automotive Simulation and Control,https://openalex.org/I4392738231,Hefei University of Technology,https://openalex.org/I16365422,Hefei University of Technology,https://openalex.org/I16365422,Hefei University,https://openalex.org/I39774598,Hefei University of Technology,https://openalex.org/I16365422,Hefei University of Technology,https://openalex.org/I16365422,Hefei University of Technology,https://openalex.org/I16365422,Hefei University of Technology,https://openalex.org/I16365422,Hefei University of Technology,https://openalex.org/I16365422,,,,,Dalian University,https://openalex.org/I4210092944,,,,,,,,,,,,,University of North Dakota,https://openalex.org/I24571045,,,University of North Dakota,https://openalex.org/I24571045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaohan Wang,A5056359676,2,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,State Key Laboratory of Digital Medical Engineering,https://openalex.org/I4387154005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yixuan Tan,A5063984048,1,,,,,Shanghai Changzheng Hospital,https://openalex.org/I4210099558,Shanghai Changzheng Hospital,https://openalex.org/I4210099558,Shanghai Changzheng Hospital,https://openalex.org/I4210099558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruizhe Pan,a5076029614,2,,,,,,,,,Zhejiang University,https://openalex.org/I76130692,Zhejiang University,https://openalex.org/I76130692,,,,,,,Xiangya Hospital Central South University,https://openalex.org/I4210159865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhuoshu Li,A5086080455,3,Beijing Institute of Technology,https://openalex.org/I125839683,,,Zhejiang University,https://openalex.org/I76130692,,,,,,,,,,,,,,,,,,,,,Beihang University,https://openalex.org/I82880672,Beihang University,https://openalex.org/I82880672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yongqiang Guo,A5100298247,6,Northwestern Polytechnical University,https://openalex.org/I17145004,,,Beijing Research Institute of Mechanical and Electrical Technology,https://openalex.org/I4210117825,Northwestern Polytechnical University,https://openalex.org/I17145004,University of Science and Technology Beijing,https://openalex.org/I92403157,,,Chongqing Medical University,https://openalex.org/I87780372,,,,,,,,,,,,,,,,,,,,,,,Chinese Academy of Medical Sciences & Peking Union Medical College,https://openalex.org/I200296433,,,,,,,,,,,Graduate School USA,https://openalex.org/I880766802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaokang Chen,A5101412831,7,,,Shanxi Datong University,https://openalex.org/I5422934,Hubei University of Technology,https://openalex.org/I74525822,China Three Gorges University,https://openalex.org/I161350542,University of Science and Technology of China,https://openalex.org/I126520041,University of Science and Technology of China,https://openalex.org/I126520041,Japan Agency for Marine-Earth Science and Technology,https://openalex.org/I1315852903,,,Changzhou University,https://openalex.org/I4210153482,,,,,,,,,,,,,Chinese Academy of Fishery Sciences,https://openalex.org/I46529539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liang Zhao,A5101780128,8,Hunan Academy of Traditional Chinese Medicine,https://openalex.org/I4210122600,Guangzhou Medical University,https://openalex.org/I92039509,Air Force Medical University,https://openalex.org/I9916479,Air Force Medical University,https://openalex.org/I9916479,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Xinxiang Medical University,https://openalex.org/I80626142,Chongqing Medical University,https://openalex.org/I87780372,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,Southern Medical University,https://openalex.org/I58200834,,,,,Eastern Hepatobiliary Surgery Hospital,https://openalex.org/I4210137389,Southern Medical University,https://openalex.org/I58200834,,,,,,,Lanzhou University,https://openalex.org/I76214153,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuxuan Liu,A5102651090,2,,,Northeast Petroleum University,https://openalex.org/I921716337,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingyang Yuan,A5113747152,6,King University,https://openalex.org/I111483173,Xiamen University of Technology,https://openalex.org/I75867142,Peking University,https://openalex.org/I20231570,Peking University,https://openalex.org/I20231570,,,,,,,Nanjing University,https://openalex.org/I881766915,Hunan Agricultural University,https://openalex.org/I52180223,,,,,,,,,,,,,,,Xiamen University of Technology,https://openalex.org/I75867142,,,,,,,Harbin Institute of Technology,https://openalex.org/I204983213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhizhou Ren,a5113969453,3,,,Tsinghua University,https://openalex.org/I99065089,Helix (United States),https://openalex.org/I4210163239,,,Helix (United States),https://openalex.org/I4210163239,University of Illinois Urbana-Champaign,https://openalex.org/I157725225,Tsinghua University,https://openalex.org/I99065089,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhigang Yan,A5001698196,2,,,National Livestock Breeding Center,https://openalex.org/I4210163340,,,,,,,Shantou University,https://openalex.org/I32574673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingchang Chen,A5003566311,8,,,China Automotive Engineering Research Institute,https://openalex.org/I4210131649,Impact,https://openalex.org/I4210161256,China Southern Power Grid (China),https://openalex.org/I74872605,State Key Laboratory of Vehicle NVH and Safety Technology,https://openalex.org/I4210145005,State Key Laboratory of Vehicle NVH and Safety Technology,https://openalex.org/I4210145005,,,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,,,Sun Yat-sen University,https://openalex.org/I157773358,Guangzhou Medical University,https://openalex.org/I92039509,,,Sun Yat-sen University,https://openalex.org/I157773358,Sun Yat-sen University,https://openalex.org/I157773358,,,China University of Mining and Technology,https://openalex.org/I25757504,China University of Mining and Technology,https://openalex.org/I25757504,Sun Yat-sen University,https://openalex.org/I157773358,,,,,Sun Yat-sen University,https://openalex.org/I157773358,Jimei University,https://openalex.org/I161346416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qiancheng Wang,A5009091910,5,,,Institute of Grassland Research,https://openalex.org/I4210156847,Jiangsu Maritime Institute,https://openalex.org/I4210153872,National University of Defense Technology,https://openalex.org/I170215575,National University of Defense Technology,https://openalex.org/I170215575,National University of Defense Technology,https://openalex.org/I170215575,University of Southampton,https://openalex.org/I43439940,National University of Defense Technology,https://openalex.org/I170215575,Zhengzhou University,https://openalex.org/I38877650,National University of Defense Technology,https://openalex.org/I170215575,National University of Defense Technology,https://openalex.org/I170215575,National University of Defense Technology,https://openalex.org/I170215575,National University of Defense Technology,https://openalex.org/I170215575,National University of Defense Technology,https://openalex.org/I170215575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuyang Zhou,A5011549126,3,First Affiliated Hospital of Wenzhou Medical University,https://openalex.org/I2801769982,Xihu Institute of Electronic Research,https://openalex.org/I4210154159,Donghua University,https://openalex.org/I181326427,Donghua University,https://openalex.org/I181326427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yifan Shi,A5018598375,4,Kunming University of Science and Technology,https://openalex.org/I10660446,Columbia University,https://openalex.org/I78577930,Yunnan Metallurgical Group (China),https://openalex.org/I4210149647,,,Beijing University of Chemical Technology,https://openalex.org/I75390827,,,,,,,Beijing University of Chemical Technology,https://openalex.org/I75390827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuai Yu,A5022036537,13,University of Baltimore,https://openalex.org/I6059380,Institute of Microelectronics,https://openalex.org/I4210119392,China Jiliang University,https://openalex.org/I55538621,Shenzhen University,https://openalex.org/I180726961,Shaoxing University,https://openalex.org/I192209268,Shenzhen University,https://openalex.org/I180726961,Shenzhen University,https://openalex.org/I180726961,Shenzhen Technology University,https://openalex.org/I4210152380,Stanford University,https://openalex.org/I97018004,Stanford University,https://openalex.org/I97018004,Shenzhen University,https://openalex.org/I180726961,University of Notre Dame,https://openalex.org/I107639228,Université Bourgogne Franche-Comté,https://openalex.org/I4210118524,University of Applied Sciences Leiden,https://openalex.org/I210716285,Huygens Institute for History and Culture of the Netherlands,https://openalex.org/I2801908541,National University of Singapore,https://openalex.org/I165932596,,,Hefei National Center for Physical Sciences at Nanoscale,https://openalex.org/I4210103894,Hefei National Center for Physical Sciences at Nanoscale,https://openalex.org/I4210103894,Hefei National Center for Physical Sciences at Nanoscale,https://openalex.org/I4210103894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. Q. Wang,A5022368707,1,,,,,,,,,,,,,,,,,,,Institute of High Energy Physics,https://openalex.org/I4210137180,,,Institute of High Energy Physics,https://openalex.org/I4210137180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runji Wang,A5024300524,3,,,China Academy of Engineering Physics,https://openalex.org/I2801345734,,,,,Hunan University of Science and Technology,https://openalex.org/I121296143,,,Renmin University of China,https://openalex.org/I78988378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xingchao Liu,A5024864770,6,Hebei Normal University,https://openalex.org/I94611258,Hebei Normal University,https://openalex.org/I94611258,The University of Texas at Austin,https://openalex.org/I86519309,The University of Texas at Austin,https://openalex.org/I86519309,The University of Texas at Austin,https://openalex.org/I86519309,The University of Texas at Austin,https://openalex.org/I86519309,China Agricultural University,https://openalex.org/I52158045,Beihang University,https://openalex.org/I82880672,Beihang University,https://openalex.org/I82880672,China Agricultural University,https://openalex.org/I52158045,China Agricultural University,https://openalex.org/I52158045,China Agricultural University,https://openalex.org/I52158045,,,,,Soochow University,https://openalex.org/I3923682,Soochow University,https://openalex.org/I3923682,,,,,,,,,,,81th Hospital of PLA,https://openalex.org/I4210118317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan Ou,A5028036445,5,,,South China University of Technology,https://openalex.org/I90610280,Xihua University,https://openalex.org/I102345215,,,Tsinghua University,https://openalex.org/I99065089,,,,,,,Xihua University,https://openalex.org/I102345215,Tianjin Normal University,https://openalex.org/I15062923,Tianjin Normal University,https://openalex.org/I15062923,Beijing Forestry University,https://openalex.org/I31683504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shengfeng Ye,A5030693568,5,,,Chinese Academy of Forestry,https://openalex.org/I4210128615,Institute of Chemical Industry of Forest Products,https://openalex.org/I4210111829,Chinese Academy of Forestry,https://openalex.org/I4210128615,Chinese Academy of Forestry,https://openalex.org/I4210128615,Institute of Chemical Industry of Forest Products,https://openalex.org/I4210111829,State Forestry and Grassland Administration,https://openalex.org/I4210134523,,,,,,,,,,,China Agricultural University,https://openalex.org/I52158045,,,China Agricultural University,https://openalex.org/I52158045,China Agricultural University,https://openalex.org/I52158045,,,,,,,China Agricultural University,https://openalex.org/I52158045,Wuhan University,https://openalex.org/I37461747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
