Author,OA_ID,unique_affiliation_count,affiliation-2026,ID-2026,affiliation-2025,ID-2025,affiliation-2024,ID-2024,affiliation-2023,ID-2023,affiliation-2022,ID-2022,affiliation-2021,ID-2021,affiliation-2020,ID-2020,affiliation-2019,ID-2019,affiliation-2018,ID-2018,affiliation-2017,ID-2017,affiliation-2016,ID-2016,affiliation-2015,ID-2015,affiliation-2014,ID-2014,affiliation-2013,ID-2013,affiliation-2012,ID-2012,affiliation-2011,ID-2011,affiliation-2010,ID-2010,affiliation-2009,ID-2009,affiliation-2008,ID-2008,affiliation-2007,ID-2007,affiliation-2006,ID-2006,affiliation-2005,ID-2005,affiliation-2004,ID-2004,affiliation-2003,ID-2003,affiliation-2002,ID-2002,affiliation-2001,ID-2001,affiliation-2000,ID-2000,affiliation-1999,ID-1999,affiliation-1998,ID-1998,affiliation-1997,ID-1997,affiliation-1996,ID-1996,affiliation-1995,ID-1995,affiliation-1994,ID-1994,affiliation-1993,ID-1993,affiliation-1992,ID-1992,affiliation-1991,ID-1991,affiliation-1990,ID-1990,affiliation-1989,ID-1989,affiliation-1988,ID-1988,affiliation-1987,ID-1987,affiliation-1986,ID-1986,affiliation-1985,ID-1985,affiliation-1984,ID-1984,affiliation-1983,ID-1983,affiliation-1982,ID-1982,affiliation-1979,ID-1979,affiliation-1976,ID-1976,affiliation-1962,ID-1962,affiliation-1959,ID-1959,affiliation-1944,ID-1944,affiliation-1936,ID-1936,affiliation-1923,ID-1923
Frank Palma Gomez,A5058042352,2,,,City University of New York,https://openalex.org/I174216632,,,"Queens College, CUNY",https://openalex.org/I111455621,"Queens College, CUNY",https://openalex.org/I111455621,City University of New York,https://openalex.org/I174216632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fédor Moiseev,A5055241858,6,,,Oldham Council,https://openalex.org/I4210164339,,,Google (United States),https://openalex.org/I1291425158,École Polytechnique Fédérale de Lausanne,https://openalex.org/I5124864,,,,,Yandex (Russia),https://openalex.org/I58957048,,,,,,,Université Libre de Bruxelles,https://openalex.org/I132053463,Université Libre de Bruxelles,https://openalex.org/I132053463,Université Libre de Bruxelles,https://openalex.org/I132053463,,,,,Peter the Great St. Petersburg Polytechnic University,https://openalex.org/I212220629,Peter the Great St. Petersburg Polytechnic University,https://openalex.org/I212220629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G M Liu,A5038633290,3,,,Nanjing University of Science and Technology,https://openalex.org/I36399199,Chongqing Jiaotong University,https://openalex.org/I63371133,South China Normal University,https://openalex.org/I187400657,South China Normal University,https://openalex.org/I187400657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgios Piliouras,A5079969658,7,,,Google (United Kingdom),https://openalex.org/I4210113297,Google (United Kingdom),https://openalex.org/I4210113297,Google (United Kingdom),https://openalex.org/I4210113297,DeepMind (United Kingdom),https://openalex.org/I4210090411,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore University of Technology and Design,https://openalex.org/I152815399,"University of California, Berkeley",https://openalex.org/I95457486,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore University of Technology and Design,https://openalex.org/I152815399,Singapore University of Technology and Design,https://openalex.org/I152815399,Georgia Institute of Technology,https://openalex.org/I130701444,Cornell University,https://openalex.org/I205783295,University of Baltimore,https://openalex.org/I6059380,Cornell University,https://openalex.org/I205783295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Cameron,A5114202942,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangyao Zhou,A5076644778,6,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,Southwest Jiaotong University,https://openalex.org/I4800084,Southwest Jiaotong University,https://openalex.org/I4800084,Aerospace Information Research Institute,https://openalex.org/I4210137199,Erasmus University Rotterdam,https://openalex.org/I913958620,Aerospace Information Research Institute,https://openalex.org/I4210137199,Aerospace Information Research Institute,https://openalex.org/I4210137199,,,,,,,,,Fudan University,https://openalex.org/I24943067,Fudan University,https://openalex.org/I24943067,Peking University,https://openalex.org/I20231570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gus Martins,A5113319893,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Hernández Ábrego,A5013110024,3,,,,,,,Google (United States),https://openalex.org/I1291425158,Apple (Germany),https://openalex.org/I4210141230,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,Google (United States),https://openalex.org/I1291425158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitat Politècnica de Catalunya,https://openalex.org/I9617848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanna Wallach,A5046348432,7,,,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,University College London,https://openalex.org/I45129253,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,University of Massachusetts Amherst,https://openalex.org/I24603500,University of Massachusetts Amherst,https://openalex.org/I24603500,University of Massachusetts Amherst,https://openalex.org/I24603500,,,University of Massachusetts Amherst,https://openalex.org/I24603500,Harvard University Press,https://openalex.org/I2801851002,University of Massachusetts Amherst,https://openalex.org/I24603500,University of Cambridge,https://openalex.org/I241749,,,University of Pennsylvania,https://openalex.org/I79576946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harsh Mehta,A5112461374,9,,,General Electric (Switzerland),https://openalex.org/I4210152464,Presidency University,https://openalex.org/I4210132279,,,Marwadi University,https://openalex.org/I3132999081,Indian Institute of Technology Guwahati,https://openalex.org/I1317621060,Marwadi University,https://openalex.org/I3132999081,Google (United States),https://openalex.org/I1291425158,Marwadi University,https://openalex.org/I3132999081,,,,,,,University of Michigan,https://openalex.org/I27837315,,,,,Indian Institute of Technology Guwahati,https://openalex.org/I1317621060,Dwarkadas J. Sanghvi College of Engineering,https://openalex.org/I212738717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Council for Cement and Building Materials,https://openalex.org/I4210099776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laboratoire de Chimie,https://openalex.org/I4210130154,,
Henrique Schechter Vera,A5119748841,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hesen Zhang,A5024254692,2,,,,,Oldham Council,https://openalex.org/I4210164339,,,,,,,,,,,,,Qingdao Institute of Marine Geology,https://openalex.org/I4210116268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hui Hui,A5112375674,5,,,Xi'an University of Technology,https://openalex.org/I4210131919,,,,,,,Huazhong University of Science and Technology,https://openalex.org/I47720641,Huazhong University of Science and Technology,https://openalex.org/I47720641,,,,,,,,,,,,,,,,,,,Harbin Institute of Technology,https://openalex.org/I204983213,University of Electronic Science and Technology of China,https://openalex.org/I150229711,,,,,,,,,University of Queensland,https://openalex.org/I165143802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. A. Ballantyne,A5091786513,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iftekhar Naim,A5033760431,2,,,,,,,,,Google (United States),https://openalex.org/I1291425158,,,,,,,Google (United States),https://openalex.org/I1291425158,University of Rochester,https://openalex.org/I5388228,University of Rochester,https://openalex.org/I5388228,University of Rochester,https://openalex.org/I5388228,University of Rochester,https://openalex.org/I5388228,University of Rochester,https://openalex.org/I5388228,University of Rochester,https://openalex.org/I5388228,,,University of Rochester,https://openalex.org/I5388228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilia Shumailov,A5069844959,4,,,Google (United Kingdom),https://openalex.org/I4210113297,Google (United Kingdom),https://openalex.org/I4210113297,Imperial College London,https://openalex.org/I47508984,Imperial College London,https://openalex.org/I47508984,University of Cambridge,https://openalex.org/I241749,University of Cambridge,https://openalex.org/I241749,Kitware (United States),https://openalex.org/I74786994,University of Cambridge,https://openalex.org/I241749,University of Cambridge,https://openalex.org/I241749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iyad Rahwan,A5009232244,7,,,Max Planck Institute for Human Development,https://openalex.org/I4210120221,Max Planck Institute for Human Development,https://openalex.org/I4210120221,Max Planck Institute for Human Development,https://openalex.org/I4210120221,European University Institute,https://openalex.org/I874792244,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,Massachusetts Institute of Technology,https://openalex.org/I63966007,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,University of Edinburgh,https://openalex.org/I98677209,University of Otago,https://openalex.org/I80281795,Swinburne University of Technology,https://openalex.org/I57093077,University of Melbourne,https://openalex.org/I165779595,Swinburne University of Technology,https://openalex.org/I57093077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Swaroop Guntupalli,A5009263663,10,,,,,Google (United States),https://openalex.org/I1291425158,,,,,,,Union University,https://openalex.org/I155673605,Clarion University,https://openalex.org/I114686714,Clarion University,https://openalex.org/I114686714,Massachusetts Institute of Technology,https://openalex.org/I63966007,Leibniz Institute for Neurobiology,https://openalex.org/I96578850,Dartmouth College,https://openalex.org/I107672454,Princeton University,https://openalex.org/I20089843,Brain (Germany),https://openalex.org/I4210113520,Dartmouth Hospital,https://openalex.org/I4210166639,Dartmouth Hospital,https://openalex.org/I4210166639,Brain (Germany),https://openalex.org/I4210113520,,,,,,,Texas A&M University,https://openalex.org/I91045830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Zheng,A5051489928,6,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Nanjing University,https://openalex.org/I881766915,Institute of High Energy Physics,https://openalex.org/I4210137180,,,,,,,,,,,,,China Center of Advanced Science and Technology,https://openalex.org/I51296178,Institute of High Energy Physics,https://openalex.org/I4210137180,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,Institute of High Energy Physics,https://openalex.org/I4210137180,Institute of High Energy Physics,https://openalex.org/I4210137180,University of Chinese Academy of Sciences,https://openalex.org/I4210165038,,,,,,,,,,,,,,,,,,,University of Florida,https://openalex.org/I33213144,,,Cornell University,https://openalex.org/I205783295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Grimmelmann,A5065406908,4,,,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,,,New York University,https://openalex.org/I57206974,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,,,Cornell University,https://openalex.org/I205783295,,,"University of Maryland, College Park",https://openalex.org/I66946132,,,,,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,United States Court of Appeals for the Ninth Circuit,https://openalex.org/I4210128857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Hayes,A5104083546,2,,,Google (United Kingdom),https://openalex.org/I4210113297,,,,,,,,,University College London,https://openalex.org/I45129253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasmeet Singh,A5110556013,1,,,University of Illinois Chicago,https://openalex.org/I39422238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Han,A5026362916,7,,,University of Toronto,https://openalex.org/I185261750,Agriculture Food and Rural Development,https://openalex.org/I22513696,Agriculture Food and Rural Development,https://openalex.org/I22513696,,,Agriculture Food and Rural Development,https://openalex.org/I22513696,University of Toronto,https://openalex.org/I185261750,Agriculture Food and Rural Development,https://openalex.org/I22513696,Columbia University Irving Medical Center,https://openalex.org/I2799503643,Toronto Western Hospital,https://openalex.org/I2799337515,Agriculture Food and Rural Development,https://openalex.org/I22513696,Toronto Western Hospital,https://openalex.org/I2799337515,Toronto Western Hospital,https://openalex.org/I2799337515,Toronto General Hospital,https://openalex.org/I2801845744,Toronto Western Hospital,https://openalex.org/I2799337515,Jisc,https://openalex.org/I80232743,Toronto General Hospital,https://openalex.org/I2801845744,Thornhill Medical (Canada),https://openalex.org/I4210130465,Toronto General Hospital,https://openalex.org/I2801845744,University of Toronto,https://openalex.org/I185261750,University of Toronto,https://openalex.org/I185261750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay J. Han,A5020910026,11,,,"University of California, Davis",https://openalex.org/I84218800,"University of California, Irvine",https://openalex.org/I204250578,,,"University of California, Davis",https://openalex.org/I84218800,"University of California, Irvine Medical Center",https://openalex.org/I4210096636,UC Irvine Health,https://openalex.org/I4210137750,Long Beach Medical Center,https://openalex.org/I4210111322,"University of California, Berkeley",https://openalex.org/I95457486,Simon Fraser University,https://openalex.org/I18014758,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Berkeley",https://openalex.org/I95457486,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,"University of California, Davis",https://openalex.org/I84218800,Seattle University,https://openalex.org/I58610484,,,Seattle University,https://openalex.org/I58610484,Stanford University,https://openalex.org/I97018004,,,,,"University of California, San Francisco",https://openalex.org/I180670191,,,Laboratory of Molecular Genetics,https://openalex.org/I4210091339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Baptiste Lespiau,A5058299981,2,,,,,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,,,,,École Polytechnique,https://openalex.org/I142476485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Hui,A5111940210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia University,https://openalex.org/I78577930,Columbia University,https://openalex.org/I78577930,Columbia University,https://openalex.org/I78577930,Columbia University,https://openalex.org/I78577930,Columbia University,https://openalex.org/I78577930,Fogarty International Center,https://openalex.org/I874236823,Columbia University,https://openalex.org/I78577930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer Wortman Vaughan,A5043117896,6,,,Carnegie Mellon University,https://openalex.org/I74973139,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,Microsoft Research New York City (United States),https://openalex.org/I4401726785,European Organization for Nuclear Research,https://openalex.org/I67311998,European Organization for Nuclear Research,https://openalex.org/I67311998,Institute of High Energy Physics,https://openalex.org/I4210129701,Institute of High Energy Physics,https://openalex.org/I4210129701,University of Pennsylvania,https://openalex.org/I79576946,,,,,,,,,,,,,,,Hamilton College,https://openalex.org/I188592606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiageng Zhang,A5032151259,3,Xi'an Jiaotong University,https://openalex.org/I87445476,Xi'an Jiaotong University,https://openalex.org/I87445476,Xi'an Jiaotong University,https://openalex.org/I87445476,Xi'an Jiaotong University,https://openalex.org/I87445476,Northeastern University,https://openalex.org/I9224756,Xi'an Jiaotong University,https://openalex.org/I87445476,,,,,University of Jinan,https://openalex.org/I34949971,,,,,Xi'an Jiaotong University,https://openalex.org/I87445476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jin Zou,A5003746258,25,,,Centre for Microscopy and Microanalysis,https://openalex.org/I4401200257,Nanchang Hangkong University,https://openalex.org/I927504317,Jiangxi University of Science and Technology,https://openalex.org/I4510145,Centre for Microscopy and Microanalysis,https://openalex.org/I4401200257,University of Rochester,https://openalex.org/I5388228,South China University of Technology,https://openalex.org/I90610280,University of Hong Kong,https://openalex.org/I889458895,Centre for Microscopy and Microanalysis,https://openalex.org/I4401200257,Centre for Microscopy and Microanalysis,https://openalex.org/I4401200257,Centre for Microscopy and Microanalysis,https://openalex.org/I4401200257,Centre for Microscopy and Microanalysis,https://openalex.org/I4401200257,Lanzhou University,https://openalex.org/I76214153,Zhejiang University,https://openalex.org/I76130692,Centre for Microscopy and Microanalysis,https://openalex.org/I4401200257,Miami University,https://openalex.org/I83328450,Centre for Microscopy and Microanalysis,https://openalex.org/I4401200257,Miami University,https://openalex.org/I83328450,Xi'an Jiaotong University,https://openalex.org/I87445476,Texas A&M University,https://openalex.org/I91045830,Dong-A University,https://openalex.org/I51226738,Central China Normal University,https://openalex.org/I40963666,CAE (Canada),https://openalex.org/I900231141,Centre for Microscopy and Microanalysis,https://openalex.org/I4401200257,JDSU (United States),https://openalex.org/I72427458,University of Sydney,https://openalex.org/I129604602,University of Gothenburg,https://openalex.org/I881427289,Carnegie Mellon University,https://openalex.org/I74973139,Jet Propulsion Laboratory,https://openalex.org/I1334627681,University of Sydney,https://openalex.org/I129604602,Carnegie Mellon University,https://openalex.org/I74973139,University of Sydney,https://openalex.org/I129604602,Cornell University,https://openalex.org/I205783295,University of Sydney,https://openalex.org/I129604602,Washington University in St. Louis,https://openalex.org/I204465549,University of Minnesota,https://openalex.org/I130238516,Ping An (China),https://openalex.org/I4401726822,Forschungszentrum Jülich,https://openalex.org/I171892758,Institute of Physics,https://openalex.org/I4210159876,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinhyuk Lee,A5002413587,12,,,Korea Telecom (South Korea),https://openalex.org/I4210149944,Korea University,https://openalex.org/I197347611,Kyungpook National University,https://openalex.org/I31419693,Korea University of Science and Technology,https://openalex.org/I88761825,Icahn School of Medicine at Mount Sinai,https://openalex.org/I98704320,University of Washington,https://openalex.org/I201448701,University of Washington,https://openalex.org/I201448701,Korea University,https://openalex.org/I197347611,Sungkyunkwan University,https://openalex.org/I848706,Korea University,https://openalex.org/I4210161052,Ulsan National Institute of Science and Technology,https://openalex.org/I48566637,,,Korea University of Science and Technology,https://openalex.org/I88761825,,,Seoul National University,https://openalex.org/I139264467,Korea Institute of Atmospheric Prediction Systems,https://openalex.org/I4210166937,University of Kansas,https://openalex.org/I146416000,University of Kansas,https://openalex.org/I146416000,University of Kansas,https://openalex.org/I146416000,University of Kansas,https://openalex.org/I146416000,,,,,,,Seoul National University,https://openalex.org/I139264467,Seoul National University,https://openalex.org/I139264467,Seoul National University,https://openalex.org/I139264467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Z. Leibo,A5054808675,4,,,Google (United Kingdom),https://openalex.org/I4210113297,Google (United Kingdom),https://openalex.org/I4210113297,Google (United Kingdom),https://openalex.org/I4210113297,Google (United Kingdom),https://openalex.org/I4210113297,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,DeepMind (United Kingdom),https://openalex.org/I4210090411,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,McGovern Institute for Brain Research,https://openalex.org/I144112489,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,Massachusetts Institute of Technology,https://openalex.org/I63966007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Agapiou,A5017056095,7,,,Trinity Health Oakland Hospital,https://openalex.org/I4210094011,General Motors (Poland),https://openalex.org/I4210135317,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,,,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,DeepMind (United Kingdom),https://openalex.org/I4210090411,Google (United Kingdom),https://openalex.org/I4210113297,,,,,General Motors (United States),https://openalex.org/I118136607,General Motors (United States),https://openalex.org/I118136607,,,General Motors (United States),https://openalex.org/I118136607,Rockefeller University,https://openalex.org/I83399316,University College London,https://openalex.org/I45129253,,,,,General Motors (Poland),https://openalex.org/I4210135317,,,,,,,,,General Motors (Poland),https://openalex.org/I4210135317,,,,,,,,,General Motors (United States),https://openalex.org/I118136607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Ortiz,A5083547055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Stony Brook University,https://openalex.org/I59553526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julia Haas,A5053872110,1,,,,,,,Google DeepMind (United Kingdom),https://openalex.org/I4210090411,Google DeepMind (United Kingdom),https://openalex.org/I4210090411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junjie Ji,A5077849966,2,,,Hefei University of Technology,https://openalex.org/I16365422,Hefei University of Technology,https://openalex.org/I16365422,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,Tsinghua University,https://openalex.org/I99065089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaifeng Chen,A5114546921,6,,,Southeast University,https://openalex.org/I76569877,Guangzhou Medical University,https://openalex.org/I92039509,Key Laboratory of Guangdong Province,https://openalex.org/I4210098034,Jiangxi Agricultural University,https://openalex.org/I74837319,,,,,Xiamen University,https://openalex.org/I191208505,,,,,,,,,,,,,,,,,,,,,Xinjiang Institute of Materia Medica,https://openalex.org/I4210104130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karan Gill,A5109602315,1,,,,,Carnegie Mellon University,https://openalex.org/I74973139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kat Black,A5106300982,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kate Olszewska,A5093547771,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katherine Lee,A5101561897,5,,,Microsoft Research (United Kingdom),https://openalex.org/I4210164937,Cornell University,https://openalex.org/I205783295,Cornell University,https://openalex.org/I205783295,Brain (Germany),https://openalex.org/I4210113520,,,Google (United States),https://openalex.org/I1291425158,,,Phillips Exeter Academy,https://openalex.org/I2800015558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathleen Kenealy,A5009962014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
